ngram	w1	w2	w3	w4	w5	n
dalam_waktu_dekat_sudah_ada	dalam	waktu	dekat	sudah	ada	5
dalam_waktu_dekat_sudah_bisa	dalam	waktu	dekat	sudah	bisa	5
dalam_waktu_kurang_dari_dua	dalam	waktu	kurang	dari	dua	5
dalam_waktu_kurang_dari_menit	dalam	waktu	kurang	dari	menit	5
dicairkan_dalam_waktu_dekat_ini	dicairkan	dalam	waktu	dekat	ini	5
dipastikan_dalam_waktu_dekat_ini	dipastikan	dalam	waktu	dekat	ini	5
karena_itu_dalam_waktu_dekat	karena	itu	dalam	waktu	dekat	5
lebih_banyak_menghabiskan_waktu_di	lebih	banyak	menghabiskan	waktu	di	5
sesuai_dengan_batas_waktu_yang	sesuai	dengan	batas	waktu	yang	5
sisa_waktu_enam_menit_detik	sisa	waktu	enam	menit	detik	5
sisa_waktu_satu_menit_detik	sisa	waktu	satu	menit	detik	5
terjadi_sekitar_pukul_waktu_setempat	terjadi	sekitar	pukul	waktu	setempat	5
terus_meningkat_dari_waktu_ke	terus	meningkat	dari	waktu	ke	5
tinggal_menunggu_waktu_yang_tepat	tinggal	menunggu	waktu	yang	tepat	5
waktu_dekat_ini_akan_ada	waktu	dekat	ini	akan	ada	5
waktu_dekat_ini_akan_digelar	waktu	dekat	ini	akan	digelar	5
waktu_dekat_ini_akan_dilakukan	waktu	dekat	ini	akan	dilakukan	5
waktu_dekat_ini_akan_melakukan	waktu	dekat	ini	akan	melakukan	5
waktu_dekat_ini_sudah_ada	waktu	dekat	ini	sudah	ada	5
waktu_yang_tidak_lama_lagi	waktu	yang	tidak	lama	lagi	5
yang_akan_digelar_dalam_waktu	yang	akan	digelar	dalam	waktu	5
adalah_waktu_yang_tepat_bagi	adalah	waktu	yang	tepat	bagi	4
akan_dilak-sanakan_dalam_waktu_dekat	akan	dilak-sanakan	dalam	waktu	dekat	4
akan_memakan_waktu_yang_cukup	akan	memakan	waktu	yang	cukup	4
akan_selesai_dalam_waktu_dekat	akan	selesai	dalam	waktu	dekat	4
bahwa_dalam_waktu_dekat_ini	bahwa	dalam	waktu	dekat	ini	4
batas_waktu_yang_tidak_ditentukan	batas	waktu	yang	tidak	ditentukan	4
beberapa_waktu_lalu_menyatakan_pihaknya	beberapa	waktu	lalu	menyatakan	pihaknya	4
berlangsung_pada_pukul_waktu_setempat	berlangsung	pada	pukul	waktu	setempat	4
bisa_dilakukan_dalam_waktu_dekat	bisa	dilakukan	dalam	waktu	dekat	4
da-lam_waktu_dekat_ini_akan	da-lam	waktu	dekat	ini	akan	4
dalam_beberapa_waktu_ke_depan	dalam	beberapa	waktu	ke	depan	4
dalam_kurun_waktu_cukup_lama	dalam	kurun	waktu	cukup	lama	4
dalam_kurun_waktu_satu_tahun	dalam	kurun	waktu	satu	tahun	4
dalam_kurun_waktu_sepuluh_tahun	dalam	kurun	waktu	sepuluh	tahun	4
dalam_kurun_waktu_tahun_ke	dalam	kurun	waktu	tahun	ke	4
dalam_waktu_de-kat_ini_akan	dalam	waktu	de-kat	ini	akan	4
dalam_waktu_dekat_akan_digelar	dalam	waktu	dekat	akan	digelar	4
dalam_waktu_dekat_akan_menjadi	dalam	waktu	dekat	akan	menjadi	4
dalam_waktu_dekat_ini_ada	dalam	waktu	dekat	ini	ada	4
dalam_waktu_dekat_ini_juga	dalam	waktu	dekat	ini	juga	4
dalam_waktu_dekat_ini_pemprop	dalam	waktu	dekat	ini	pemprop	4
dalam_waktu_dekat_ini_semua	dalam	waktu	dekat	ini	semua	4
dalam_waktu_dekat_ini_untuk	dalam	waktu	dekat	ini	untuk	4
dalam_waktu_dekat_tim_dari	dalam	waktu	dekat	tim	dari	4
dalam_waktu_yang_hampir_bersamaan	dalam	waktu	yang	hampir	bersamaan	4
dalam_waktu_yang_sangat_singkat	dalam	waktu	yang	sangat	singkat	4
dan_diharapkan_dalam_waktu_dekat	dan	diharapkan	dalam	waktu	dekat	4
di_tempat_dan_waktu_yang	di	tempat	dan	waktu	yang	4
dilak-sanakan_dalam_waktu_dekat_ini	dilak-sanakan	dalam	waktu	dekat	ini	4
garis_finis_dengan_catatan_waktu	garis	finis	dengan	catatan	waktu	4
hingga_batas_waktu_yang_belum	hingga	batas	waktu	yang	belum	4
hingga_batas_waktu_yang_ditetapkan	hingga	batas	waktu	yang	ditetapkan	4
hingga_waktu_yang_belum_ditentukan	hingga	waktu	yang	belum	ditentukan	4
ini_merupakan_waktu_yang_tepat	ini	merupakan	waktu	yang	tepat	4
itu_dalam_waktu_dekat_kami	itu	dalam	waktu	dekat	kami	4
kapan_waktu_yang_tepat_untuk	kapan	waktu	yang	tepat	untuk	4
kemandirian_vaksin_membutuhkan_waktu_yang	kemandirian	vaksin	membutuhkan	waktu	yang	4
kurun_waktu_sepuluh_tahun_terakhir	kurun	waktu	sepuluh	tahun	terakhir	4
kurun_waktu_tahun_ke_depan	kurun	waktu	tahun	ke	depan	4
memerlukan_waktu_yang_cukup_lama	memerlukan	waktu	yang	cukup	lama	4
mengatakan_bahwa_dalam_waktu_dekat	mengatakan	bahwa	dalam	waktu	dekat	4
mengatakan_dalam_waktu_dekat_akan	mengatakan	dalam	waktu	dekat	akan	4
mengatakan_dalam_waktu_dekat_pihaknya	mengatakan	dalam	waktu	dekat	pihaknya	4
mengejar_kemandirian_vaksin_membutuhkan_waktu	mengejar	kemandirian	vaksin	membutuhkan	waktu	4
menit_sebelum_waktu_normal_berakhir	menit	sebelum	waktu	normal	berakhir	4
pada_pukul_waktu_setempat_dan	pada	pukul	waktu	setempat	dan	4
pada_sisa_waktu_satu_menit	pada	sisa	waktu	satu	menit	4
saat_ditemui_beberapa_waktu_lalu	saat	ditemui	beberapa	waktu	lalu	4
sampai_batas_waktu_yang_belum	sampai	batas	waktu	yang	belum	4
sampai_waktu_yang_tidak_ditentukan	sampai	waktu	yang	tidak	ditentukan	4
segera_dicairkan_dalam_waktu_dekat	segera	dicairkan	dalam	waktu	dekat	4
selesai_dalam_waktu_dekat_ini	selesai	dalam	waktu	dekat	ini	4
tersebut_dalam_waktu_dekat_akan	tersebut	dalam	waktu	dekat	akan	4
tinggal_menunggu_waktu_pelaksanaannya_saja	tinggal	menunggu	waktu	pelaksanaannya	saja	4
vaksin_membutuhkan_waktu_yang_cukup	vaksin	membutuhkan	waktu	yang	cukup	4
waktu_dekat_kami_akan_melakukan	waktu	dekat	kami	akan	melakukan	4
waktu_dekat_pihaknya_akan_memanggil	waktu	dekat	pihaknya	akan	memanggil	4
waktu_dekat_pihaknya_juga_akan	waktu	dekat	pihaknya	juga	akan	4
waktu_enam_menit_detik_kuarter	waktu	enam	menit	detik	kuarter	4
waktu_kurang_dari_satu_jam	waktu	kurang	dari	satu	jam	4
waktu_lima_menit_detik_kuarter	waktu	lima	menit	detik	kuarter	4
waktu_yang_cukup_lama_untuk	waktu	yang	cukup	lama	untuk	4
waktu_yang_cukup_panjang_untuk	waktu	yang	cukup	panjang	untuk	4
waktu_yang_tak_terlalu_lama	waktu	yang	tak	terlalu	lama	4
yang_akan_dilakukan_dalam_waktu	yang	akan	dilakukan	dalam	waktu	4
yang_pasti_dalam_waktu_dekat	yang	pasti	dalam	waktu	dekat	4
agar_dalam_waktu_dekat_ini	agar	dalam	waktu	dekat	ini	3
akan_butuh_waktu_lama_untuk	akan	butuh	waktu	lama	untuk	3
akan_dieksekusi_dalam_waktu_dekat	akan	dieksekusi	dalam	waktu	dekat	3
akan_dilaku-kan_dalam_waktu_dekat	akan	dilaku-kan	dalam	waktu	dekat	3
akan_dimulai_dalam_waktu_dekat	akan	dimulai	dalam	waktu	dekat	3
akan_dirilis_dalam_waktu_dekat	akan	dirilis	dalam	waktu	dekat	3
akan_diserahkan_dalam_waktu_dekat	akan	diserahkan	dalam	waktu	dekat	3
akan_memakan_waktu_cukup_lama	akan	memakan	waktu	cukup	lama	3
akan_memakan_waktu_lebih_lama	akan	memakan	waktu	lebih	lama	3
akan_menikmati_waktu_liburan_yang	akan	menikmati	waktu	liburan	yang	3
akan_terlaksana_dalam_waktu_dekat	akan	terlaksana	dalam	waktu	dekat	3
bahwa_dalam_waktu_de-kat_ini	bahwa	dalam	waktu	de-kat	ini	3
bahwa_dalam_waktu_dekat_akan	bahwa	dalam	waktu	dekat	akan	3
baik_dari_waktu_ke_waktu	baik	dari	waktu	ke	waktu	3
batas_waktu_yang_telah_ditentukan	batas	waktu	yang	telah	ditentukan	3
beberapa_waktu_lalu_kami_telah	beberapa	waktu	lalu	kami	telah	3
beberapa_waktu_lalu_mengatakan_bahwa	beberapa	waktu	lalu	mengatakan	bahwa	3
beberapa_waktu_lalu_para_peneliti	beberapa	waktu	lalu	para	peneliti	3
beberapa_waktu_lalu_pemerintah_pusat	beberapa	waktu	lalu	pemerintah	pusat	3
beberapa_waktu_lalu_pihaknya_telah	beberapa	waktu	lalu	pihaknya	telah	3
beberapa_waktu_lalu_telah_mengeluarkan	beberapa	waktu	lalu	telah	mengeluarkan	3
belum_bisa_memastikan_waktu_pelaksanaan	belum	bisa	memastikan	waktu	pelaksanaan	3
belum_dapat_dilakukan_dalam_waktu	belum	dapat	dilakukan	dalam	waktu	3
berkembang_dari_waktu_ke_waktu	berkembang	dari	waktu	ke	waktu	3
berlangsung_dalam_waktu_dekat_ini	berlangsung	dalam	waktu	dekat	ini	3
bertambah_dari_waktu_ke_waktu	bertambah	dari	waktu	ke	waktu	3
besar_jika_dibandingkan_dengan_waktu	besar	jika	dibandingkan	dengan	waktu	3
bukan_waktu_yang_tepat_untuk	bukan	waktu	yang	tepat	untuk	3
butuh_waktu_sekitar_menit_untuk	butuh	waktu	sekitar	menit	untuk	3
butuh_waktu_yang_cukup_lama	butuh	waktu	yang	cukup	lama	3
catatan_waktu_menit_detik_dan	catatan	waktu	menit	detik	dan	3
catatan_waktu_satu_menit_detik	catatan	waktu	satu	menit	detik	3
catatan_waktu_tercepat_rata-rata_yang	catatan	waktu	tercepat	rata-rata	yang	3
catatan_waktu_tercepat_satu_menit	catatan	waktu	tercepat	satu	menit	3
da-lam_waktu_dekat_ini_sudah	da-lam	waktu	dekat	ini	sudah	3
dalam_beberapa_waktu_terakhir_ini	dalam	beberapa	waktu	terakhir	ini	3
dalam_jangka_waktu_dua_tahun	dalam	jangka	waktu	dua	tahun	3
dalam_jangka_waktu_yang_cukup	dalam	jangka	waktu	yang	cukup	3
dalam_kurun_waktu_beberapa_tahun	dalam	kurun	waktu	beberapa	tahun	3
dalam_kurun_waktu_yang_cukup	dalam	kurun	waktu	yang	cukup	3
dalam_rentang_waktu_tiga_tahun	dalam	rentang	waktu	tiga	tahun	3
dalam_waktu_dekat_akan_dibentuk	dalam	waktu	dekat	akan	dibentuk	3
dalam_waktu_dekat_akan_dilakukan	dalam	waktu	dekat	akan	dilakukan	3
dalam_waktu_dekat_akan_kembali	dalam	waktu	dekat	akan	kembali	3
dalam_waktu_dekat_akan_membuka	dalam	waktu	dekat	akan	membuka	3
dalam_waktu_dekat_akan_mengundang	dalam	waktu	dekat	akan	mengundang	3
dalam_waktu_dekat_akan_menjalani	dalam	waktu	dekat	akan	menjalani	3
dalam_waktu_dekat_dia_akan	dalam	waktu	dekat	dia	akan	3
dalam_waktu_dekat_dirinya_akan	dalam	waktu	dekat	dirinya	akan	3
dalam_waktu_dekat_ini_harga	dalam	waktu	dekat	ini	harga	3
dalam_waktu_dekat_ini_kita	dalam	waktu	dekat	ini	kita	3
dalam_waktu_dekat_ini_proses	dalam	waktu	dekat	ini	proses	3
dalam_waktu_dekat_ini_tukas	dalam	waktu	dekat	ini	tukas	3
dalam_waktu_dekat_pihaknya_juga	dalam	waktu	dekat	pihaknya	juga	3
dalam_waktu_hari_ke_depan	dalam	waktu	hari	ke	depan	3
dalam_waktu_kurang_dari_jam	dalam	waktu	kurang	dari	jam	3
dalam_waktu_satu_atau_dua	dalam	waktu	satu	atau	dua	3
dalam_waktu_tahun_ke_depan	dalam	waktu	tahun	ke	depan	3
dalam_waktu_tak_terlalu_lama	dalam	waktu	tak	terlalu	lama	3
dalam_waktu_tidak_terlalu_lama	dalam	waktu	tidak	terlalu	lama	3
dalam_waktu_tiga_puluh_hari	dalam	waktu	tiga	puluh	hari	3
dalam_waktu_yang_tak_terlalu	dalam	waktu	yang	tak	terlalu	3
dan_mudah-mudahan_dalam_waktu_dekat	dan	mudah-mudahan	dalam	waktu	dekat	3
dapat_dilakukan_dalam_waktu_dekat	dapat	dilakukan	dalam	waktu	dekat	3
dari_waktu_ke_waktu_kata	dari	waktu	ke	waktu	kata	3
dengan_jangka_waktu_tiga_tahun	dengan	jangka	waktu	tiga	tahun	3
dengan_waktu_menit_detik_dan	dengan	waktu	menit	detik	dan	3
di_sisa_waktu_detik_pertandingan	di	sisa	waktu	detik	pertandingan	3
di_sisa_waktu_dua_menit	di	sisa	waktu	dua	menit	3
di_sisa_waktu_menit_detik	di	sisa	waktu	menit	detik	3
di_sisa_waktu_satu_menit	di	sisa	waktu	satu	menit	3
di_sisa_waktu_tiga_menit	di	sisa	waktu	tiga	menit	3
di_waktu_dan_tempat_yang	di	waktu	dan	tempat	yang	3
dianggap_sebagai_waktu_yang_tepat	dianggap	sebagai	waktu	yang	tepat	3
dikonsumsi_pada_waktu_perut_kosong	dikonsumsi	pada	waktu	perut	kosong	3
dilakukan_dalam_waktu_dekat_adalah	dilakukan	dalam	waktu	dekat	adalah	3
ditunda_hingga_waktu_yang_belum	ditunda	hingga	waktu	yang	belum	3
dunia_bisa_memberikan_waktu_kepada	dunia	bisa	memberikan	waktu	kepada	3
hal_tersebut_dalam_waktu_dekat	hal	tersebut	dalam	waktu	dekat	3
hanya_butuh_waktu_menit_untuk	hanya	butuh	waktu	menit	untuk	3
hanya_dalam_waktu_tiga_hari	hanya	dalam	waktu	tiga	hari	3
hanya_membutuhkan_waktu_menit_untuk	hanya	membutuhkan	waktu	menit	untuk	3
ini_akan_dilaksanakan_dalam_waktu	ini	akan	dilaksanakan	dalam	waktu	3
ini_maka_dalam_waktu_dekat	ini	maka	dalam	waktu	dekat	3
itu_adalah_waktu_yang_tepat	itu	adalah	waktu	yang	tepat	3
itu_dalam_waktu_dekat_segera	itu	dalam	waktu	dekat	segera	3
itu_terjadi_sekitar_pukul_waktu	itu	terjadi	sekitar	pukul	waktu	3
jadi_dalam_waktu_dekat_ini	jadi	dalam	waktu	dekat	ini	3
jangka_waktu_dua_tahun_ke	jangka	waktu	dua	tahun	ke	3
jangka_waktu_lima_tahun_ke	jangka	waktu	lima	tahun	ke	3
jangka_waktu_yang_cukup_lama	jangka	waktu	yang	cukup	lama	3
jatuh_sekitar_pukul_waktu_setempat	jatuh	sekitar	pukul	waktu	setempat	3
jika_dibandingkan_dengan_waktu_penutupan	jika	dibandingkan	dengan	waktu	penutupan	3
kali_mencatat_waktu_lap_tercepat	kali	mencatat	waktu	lap	tercepat	3
karena_dalam_waktu_dekat_ini	karena	dalam	waktu	dekat	ini	3
kata_dia_beberapa_waktu_lalu	kata	dia	beberapa	waktu	lalu	3
katakan_tidak_ada_waktu_lagi	katakan	tidak	ada	waktu	lagi	3
ke_pada_pukul_pagi_waktu	ke	pada	pukul	pagi	waktu	3
kurun_waktu_dua_tahun_terakhir	kurun	waktu	dua	tahun	terakhir	3
kurun_waktu_kurang_dari_dua	kurun	waktu	kurang	dari	dua	3
kurun_waktu_tiga_tahun_terakhir	kurun	waktu	tiga	tahun	terakhir	3
kurun_waktu_yang_cukup_lama	kurun	waktu	yang	cukup	lama	3
lagi_dalam_waktu_dekat_ini	lagi	dalam	waktu	dekat	ini	3
lakukan_dalam_waktu_dekat_ini	lakukan	dalam	waktu	dekat	ini	3
lama_waktu_yang_dibutuhkan_untuk	lama	waktu	yang	dibutuhkan	untuk	3
lebih_baik_dari_waktu_ke	lebih	baik	dari	waktu	ke	3
lebih_cepat_dari_waktu_yang	lebih	cepat	dari	waktu	yang	3
masyarakt_sampai_akhir_batas_waktu	masyarakt	sampai	akhir	batas	waktu	3
me-mastikan_dalam_waktu_dekat_ini	me-mastikan	dalam	waktu	dekat	ini	3
melintang_dalam_waktu_dekat_ini	melintang	dalam	waktu	dekat	ini	3
memakan_waktu_yang_lebih_lama	memakan	waktu	yang	lebih	lama	3
membutuhkan_waktu_yang_lebih_lama	membutuhkan	waktu	yang	lebih	lama	3
memerlukan_waktu_yang_cukup_panjang	memerlukan	waktu	yang	cukup	panjang	3
memiliki_waktu_yang_cukup_untuk	memiliki	waktu	yang	cukup	untuk	3
memutuskan_dalam_waktu_dekat_akan	memutuskan	dalam	waktu	dekat	akan	3
mencatatkan_waktu_terbaik_menit_detik	mencatatkan	waktu	terbaik	menit	detik	3
menghabiskan_lebih_banyak_waktu_dengan	menghabiskan	lebih	banyak	waktu	dengan	3
menguras_banyak_waktu_dan_tenaga	menguras	banyak	waktu	dan	tenaga	3
menikmati_waktu_liburan_yang_menyenangkan	menikmati	waktu	liburan	yang	menyenangkan	3
menit_menjelang_waktu_normal_berakhir	menit	menjelang	waktu	normal	berakhir	3
miliar_dengan_jangka_waktu_tahun	miliar	dengan	jangka	waktu	tahun	3
mudah-mudahan_dalam_waktu_dekat_ini	mudah-mudahan	dalam	waktu	dekat	ini	3
mungkin_dalam_waktu_dekat_ini	mungkin	dalam	waktu	dekat	ini	3
pada_pukul_waktu_setempat_atau	pada	pukul	waktu	setempat	atau	3
pukul_waktu_setempat_indeks_di	pukul	waktu	setempat	indeks	di	3
sampai_akhir_batas_waktu_yang	sampai	akhir	batas	waktu	yang	3
sampai_batas_waktu_yang_ditetapkan	sampai	batas	waktu	yang	ditetapkan	3
sampai_batas_waktu_yang_tidak	sampai	batas	waktu	yang	tidak	3
saya_katakan_tidak_ada_waktu	saya	katakan	tidak	ada	waktu	3
sekali_pada_waktu_itu_sampai	sekali	pada	waktu	itu	sampai	3
sekitar_pukul_pagi_waktu_setempat	sekitar	pukul	pagi	waktu	setempat	3
sekitar_pukul_waktu_setempat_atau	sekitar	pukul	waktu	setempat	atau	3
selama_kurun_waktu_tahun_ini	selama	kurun	waktu	tahun	ini	3
seluruh_dunia_bisa_memberikan_waktu	seluruh	dunia	bisa	memberikan	waktu	3
sendiri_beberapa_waktu_lalu_telah	sendiri	beberapa	waktu	lalu	telah	3
seperti_yang_terjadi_beberapa_waktu	seperti	yang	terjadi	beberapa	waktu	3
seraya_menambahkan_dalam_waktu_dekat	seraya	menambahkan	dalam	waktu	dekat	3
sudah_dimulai_sejak_beberapa_waktu	sudah	dimulai	sejak	beberapa	waktu	3
tak_butuh_waktu_lama_untuk	tak	butuh	waktu	lama	untuk	3
tak_punya_banyak_waktu_untuk	tak	punya	banyak	waktu	untuk	3
tempat_dan_waktu_yang_berbeda	tempat	dan	waktu	yang	berbeda	3
tepat_pada_waktu_yang_ditentukan	tepat	pada	waktu	yang	ditentukan	3
terealisasi_dalam_waktu_dekat_ini	terealisasi	dalam	waktu	dekat	ini	3
tidak_ada_waktu_lagi_bagimu	tidak	ada	waktu	lagi	bagimu	3
tidak_punya_banyak_waktu_untuk	tidak	punya	banyak	waktu	untuk	3
tinggal_menunggu_waktu_saja_untuk	tinggal	menunggu	waktu	saja	untuk	3
tinggal_menunggu_waktu_yang_pas	tinggal	menunggu	waktu	yang	pas	3
untuk_jangka_waktu_yang_panjang	untuk	jangka	waktu	yang	panjang	3
untuk_waktu_yang_cukup_lama	untuk	waktu	yang	cukup	lama	3
untuk_waktu_yang_sangat_lama	untuk	waktu	yang	sangat	lama	3
waktu_dan_tempat_yang_sama	waktu	dan	tempat	yang	sama	3
waktu_dekat_ini_akan_memanggil	waktu	dekat	ini	akan	memanggil	3
waktu_dekat_ini_sudah_akan	waktu	dekat	ini	sudah	akan	3
waktu_dekat_ini_sudah_dapat	waktu	dekat	ini	sudah	dapat	3
waktu_kurang_dari_dua_tahun	waktu	kurang	dari	dua	tahun	3
waktu_lalu_para_peneliti_belum	waktu	lalu	para	peneliti	belum	3
